,date,sentiment_score,weighted_sentiment,total_likes,tweet_count
192,2013-03-30,0.43622500000000003,102.56880000000001,222.0,4
193,2013-03-31,0.6882,116.0429,177.0,2
194,2013-04-01,0.74925,329.18129999999996,392.0,4
195,2013-04-02,0.1586090909090909,146.5406,474.0,11
196,2013-04-03,0.31245,53.1165,94.0,2
197,2013-04-08,0.15367999999999998,48.49350000000001,1816.0,5
198,2013-04-09,0.44832,-7879.3907,31158.0,10
199,2013-04-10,0.32985,68.6088,158.0,4
200,2013-04-11,0.24230000000000002,114.70739999999999,631.0,8
201,2013-04-13,0.0516,7.482,145.0,1
202,2013-04-17,0.46065,66.2907,135.0,2
203,2013-04-18,0.35625,86.925,139.0,2
204,2013-04-21,0.8398,52.0676,62.0,1
205,2013-04-22,0.3952333333333333,661.9552,1385.0,6
206,2013-04-23,0.18591666666666665,14.331700000000001,1132.0,12
207,2013-04-24,0.20650000000000002,3.6622,20.0,2
208,2013-04-25,0.3626666666666667,59.8652,825.0,6
209,2013-04-26,-0.14726666666666668,-3.9416,32.0,3
210,2013-04-28,-0.34,-105.4,310.0,1
211,2013-04-30,0.19023333333333334,94.1655,253.0,3
212,2013-05-01,0.25689999999999996,14.5027,64.0,7
213,2013-05-02,-0.125875,7.121500000000001,348.0,8
214,2013-05-03,0.49840588235294114,110.1474,369.0,17
215,2013-05-04,0.46166666666666667,66.1348,142.0,6
216,2013-05-05,0.32842,51.0903,126.0,5
217,2013-05-06,0.37892000000000003,205.4548,521.0,5
218,2013-05-07,0.00291666666666666,-25.8398,636.0,6
219,2013-05-08,0.3765,3818.9469000000004,6000.0,3
220,2013-05-09,0.11335714285714285,165.1215,950.0,7
221,2013-05-12,0.09669333333333333,280.8505,807.0,15
222,2013-05-13,0.32439999999999997,63.2595,139.0,5
223,2013-05-14,0.31245,21.2466,101.0,2
224,2013-05-15,0.0,0.0,43.0,1
225,2013-05-18,0.447,17.433,388.0,3
226,2013-05-19,-0.10424999999999997,-8.482399999999998,53.0,4
227,2013-05-20,0.17020000000000002,62.293200000000006,149.0,3
228,2013-05-22,0.0,0.0,620.0,1
229,2013-05-23,-0.0834,-52.0416,347.0,4
230,2013-05-24,-0.180675,-202.8954,647.0,8
231,2013-05-25,0.1810578947368421,2709.265,6614.0,38
232,2013-05-26,0.10405,28.2405,91.0,2
233,2013-05-30,0.2121333333333333,172.4644,624.0,3
234,2013-06-03,0.10684,276.18460000000005,1229.0,5
235,2013-06-05,0.0,0.0,7627.0,1
236,2013-06-06,-0.18692,-310.5426,1062.0,5
237,2013-06-08,0.42069999999999996,87.3632,208.0,2
238,2013-06-10,-0.34,-104.72,308.0,2
239,2013-06-12,0.33255,76.6994,226.0,2
240,2013-06-18,0.03846666666666667,4.731400000000001,490.0,6
241,2013-06-19,0.0,0.0,87.0,1
242,2013-06-20,0.0,0.0,312.0,1
243,2013-06-21,-0.31845,-6.369,113.0,2
244,2013-06-24,0.0,0.0,25.0,1
245,2013-06-25,0.09435,2.6418,33.0,4
246,2013-06-28,0.19762,131.0688,200.0,5
247,2013-06-29,0.0,0.0,231.0,1
248,2013-06-30,0.30575,47.697,78.0,2
249,2013-07-02,0.795,715.5,900.0,2
250,2013-07-06,0.0,0.0,572.0,1
251,2013-07-09,0.2526333333333333,838.9953,1346.0,3
252,2013-07-10,0.42055,242.52739999999997,518.0,2
253,2013-07-15,0.24934285714285714,1287.4230000000002,3123.0,7
254,2013-07-23,0.5562,364.31100000000004,655.0,1
255,2013-07-24,-0.0516,-31.6824,614.0,2
256,2013-07-28,0.3548,0.0,283.0,2
257,2013-08-01,-0.296,-69.264,234.0,1
258,2013-08-07,0.0,0.0,176.0,1
259,2013-08-12,0.29365,1378.3931000000002,4671.0,4
260,2013-08-14,-0.1027,-50.323,490.0,1
261,2013-08-16,0.0,0.0,344.0,1
262,2013-08-20,0.7906,611.1338,773.0,1
263,2013-08-23,0.48789999999999994,866.3654,1906.0,5
264,2013-08-24,0.4926,140.391,285.0,1
265,2013-09-04,-0.34,-201.96000000000004,594.0,2
266,2013-09-05,0.24695,479.5769,1618.0,2
267,2013-09-06,0.0,0.0,240.0,1
268,2013-09-07,-0.34,-323.68000000000006,952.0,2
269,2013-09-10,-0.12040000000000001,-43.705200000000005,640.0,3
270,2013-09-13,-0.34,-46.580000000000005,137.0,1
271,2013-09-15,0.4215,96.102,228.0,2
272,2013-09-18,0.17866666666666667,337.656,1457.0,3
273,2013-09-19,0.3825,310.59000000000003,923.0,2
274,2013-09-20,0.24339999999999998,137.4176,392.0,2
275,2013-09-25,0.5656,161.9164,271.0,2
276,2013-09-26,0.0,0.0,148.0,1
277,2013-09-27,0.0,0.0,235.0,1
278,2013-09-29,0.28301666666666664,388.4619,1736.0,6
279,2013-10-04,-0.34,-170.0,500.0,1
280,2013-10-12,0.0,0.0,759.0,1
281,2013-10-26,0.0,0.0,767.0,1
282,2013-10-30,0.13010000000000002,120.6954,217.0,2
283,2013-11-02,0.5399,198.68320000000003,368.0,1
284,2013-11-10,-0.4767,-150.6372,316.0,1
285,2013-11-12,0.0,0.0,866.0,1
286,2013-11-14,-0.4404,-197.7396,449.0,1
287,2013-11-19,-0.3380833333333333,-2110.1255,3520.0,6
288,2013-11-21,0.4404,159.4248,362.0,1
289,2013-11-23,0.2232,-8.927600000000002,709.0,5
290,2013-11-24,0.4404,195.978,445.0,1
291,2013-11-26,0.743,155.287,209.0,1
292,2013-11-28,0.18378333333333333,251.35889999999998,2002.0,12
293,2013-11-29,0.0,0.0,87.0,2
294,2013-11-30,0.21005000000000001,56.1374,265.0,2
295,2013-12-02,-0.08715,-214.0984,805.0,4
296,2013-12-03,0.30562727272727275,621.4824,1196.0,11
297,2013-12-04,0.0,0.0,1369.0,1
298,2013-12-05,0.28856666666666664,594.4865,951.0,3
299,2013-12-10,-0.6114,-74.5908,122.0,1
300,2013-12-19,0.0,0.0,438.0,2
301,2013-12-21,0.36985,313.3855,980.0,2
302,2013-12-22,0.8316,27.442800000000002,33.0,1
303,2013-12-25,0.5848,14.62,25.0,2
304,2013-12-26,0.5256,8.9352,17.0,1
305,2014-01-06,0.45585,41.938199999999995,426.0,2
306,2014-01-07,-0.2732,-69.3928,254.0,1
307,2014-01-23,0.0,0.0,1044.0,2
308,2014-01-26,0.1854,315.3654,1430.0,3
309,2014-01-30,0.4389,435.8277,993.0,1
310,2014-02-02,-0.68,-643.2800000000001,946.0,1
311,2014-02-07,0.5106,192.49620000000002,377.0,1
312,2014-02-09,0.26466666666666666,850.6968999999999,1255.0,3
313,2014-02-11,0.0258,6.708,260.0,1
314,2014-02-14,0.5093,110.51809999999999,217.0,1
315,2014-02-24,0.0,0.0,1169.0,2
316,2014-02-25,0.2202,303.4356,1568.0,2
317,2014-03-05,0.34,234.94000000000003,691.0,1
318,2014-03-07,0.8461,120.1462,142.0,2
319,2014-03-10,0.7845,45.501,58.0,1
320,2014-03-11,-0.019250000000000017,-11.381,810.0,2
321,2014-03-14,0.4908142857142857,1746.9780999999998,3249.0,7
322,2014-03-17,-0.7579,-249.3491,329.0,1
323,2014-03-19,0.2732,14.206399999999999,52.0,2
324,2014-03-25,0.0,0.0,152.0,2
325,2014-03-31,-0.07479999999999999,-107.4876,1135.0,3
326,2014-04-01,0.0,0.0,519.0,1
327,2014-04-05,0.25705,294.07200000000006,608.0,4
328,2014-04-07,0.19587,-43.4504,1700.0,10
329,2014-04-08,0.02054,67.782,1706.0,5
330,2014-04-17,0.5859,455.8302,778.0,1
331,2014-04-18,0.24965384615384614,690.2777,4681.0,13
332,2014-04-19,0.2334,406.6944,1376.0,2
333,2014-04-24,0.32985,174.82049999999998,634.0,2
334,2014-04-26,-0.1027,-30.6046,298.0,1
335,2014-04-29,0.1129,1584.9037,3808.0,7
336,2014-05-02,0.0,0.0,1101.0,2
337,2014-05-08,-0.1531,-35.978500000000004,235.0,1
338,2014-05-10,0.5411,143.3915,265.0,1
339,2014-05-14,0.3753,6796.683000000001,9952.0,4
340,2014-05-22,0.7845,341.2575,435.0,1
341,2014-05-23,0.20144,706.8786,2957.0,10
342,2014-05-24,0.5146000000000001,91.9954,184.0,3
